last_name,first_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
Mikolas,Miles,571945,93.5,4-Seamer,16.3,4.9
Hearn,Taylor,621368,94.8,4-Seamer,13.8,7.7
Carrasco,Carlos,471911,93.2,4-Seamer,17.5,7.5
Márquez,Germán,608566,95.6,4-Seamer,16.6,8.9
Valdez,Framber,664285,79.1,Curveball,60.5,11.7
Ashcraft,Graham,668933,97.3,Cutter,19.3,0.6
Ureña,José,570632,95.6,Sinker,22.4,14.5
Berríos,José,621244,82.9,Curveball,44.3,15.8
Kluber,Corey,446372,86.3,Cutter,28.1,2.9
Thompson,Keegan,624522,93.6,4-Seamer,13.9,4.4
Gomber,Austin,596295,91,4-Seamer,15.6,6.3
Burke,Brock,656271,95,4-Seamer,14,10.3
Pivetta,Nick,601713,77.2,Curveball,65.3,7.9
Finnegan,Kyle,640448,97,Sinker,13.8,11.6
Bieber,Shane,669456,85,Slider,35.1,2.8
Castillo,Luis,622491,97.1,4-Seamer,15.4,11.4
Pérez,Martín,527048,84.4,Changeup,29.6,14.2
Keller,Brad,641745,86.9,Slider,38.5,5.7
Senzatela,Antonio,622608,94.2,4-Seamer,19.6,3.3
Heasley,Jonathan,669169,93.4,4-Seamer,12.5,8.2
Alcantara,Sandy,645261,98,4-Seamer,14.9,12
Anderson,Tyler,542881,79,Changeup,34.8,13.3
Nola,Aaron,605400,78.6,Curveball,55.7,14.4
Wood,Alex,622072,84.5,Slider,41.1,3.1
Alcantara,Sandy,645261,97.8,Sinker,21.3,17.7
Keller,Brad,641745,94.5,4-Seamer,17.3,2.4
Mikolas,Miles,571945,87.7,Slider,31.1,3.9
Manoah,Alek,666201,81.5,Slider,41,14.5
Hudson,Dakota,641712,91.9,Sinker,26.3,12.5
Rasmussen,Drew,656876,95.5,4-Seamer,13.5,2.3
Archer,Chris,502042,88.7,Slider,30.5,5.2
Scott,Tanner,656945,89.2,Slider,35.1,5.2
Gonsolin,Tony,664062,93.1,4-Seamer,14.2,8.5
Wainwright,Adam,425794,84.3,Cutter,32.1,6.3
Adon,Joan,672851,95,4-Seamer,15.4,10.7
Kershaw,Clayton,477132,86.6,Slider,29.8,5.4
Holmes,Clay,605280,97,Sinker,23.9,16.8
Severino,Luis,622663,96.3,4-Seamer,12.2,7.6
Corbin,Patrick,571578,81.7,Slider,39.6,2.9
Contreras,Roansy,672710,95.6,4-Seamer,12.3,7.4
Gibson,Kyle,502043,91.6,Sinker,25.4,14.5
Heaney,Andrew,571760,93,4-Seamer,17.5,14.8
White,Mitch,669952,93.7,4-Seamer,15.2,3.9
Quintana,José,500779,78.4,Curveball,51.2,7.9
Gray,Josiah,680686,85.8,Slider,31.6,1.6
Gore,MacKenzie,669022,94.7,4-Seamer,13,5.2
Manoah,Alek,666201,93.3,Sinker,21.1,14.7
Davies,Zach,605200,79.7,Changeup,34.6,14
Berríos,José,621244,94,4-Seamer,16.6,10.6
Poche,Colin,621363,93.2,4-Seamer,10.7,0.9
Darvish,Yu,506433,95,4-Seamer,13.5,7.1
Springs,Jeffrey,605488,81.1,Changeup,34.1,13.7
Gray,Jon,592351,84.9,Slider,32.5,10
Williams,Trevor,592866,91.2,4-Seamer,19.9,6.9
Peralta,Freddy,642547,92.6,4-Seamer,16,8.8
Lynch,Daniel,663738,85.9,Slider,33.8,0.4
Smyly,Drew,592767,78.7,Curveball,44.2,2.6
Verlander,Justin,434378,87.4,Slider,31,4
Cole,Gerrit,543037,88.7,Slider,34.2,5
Brubaker,JT,664141,86.7,Slider,34.3,0.9
Shaw,Bryan,543766,92.9,Cutter,23,4.6
Kimbrel,Craig,518886,95.8,4-Seamer,15.4,10.4
Walker,Taijuan,592836,93.7,4-Seamer,14,10.1
Rasmussen,Drew,656876,90.3,Cutter,29.3,1.4
