 first_name,last_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
 Brent,Suter,608718,87.3,4-Seamer,23.9,3.6
 Frankie,Montas,593423,96.2,Sinker,15.4,14.9
 Frankie,Montas,593423,96.4,4-Seamer,12,7
 Vince,Velasquez,592826,93.2,4-Seamer,13.2,3.6
 Sandy,Alcantara,645261,97.6,Sinker,21.5,17.3
 Brady,Singer,663903,85.4,Slider,36.6,3.8
 Vladimir,Gutierrez,661269,93.2,4-Seamer,16.6,10.3
 Adam,Wainwright,425794,89.1,Sinker,22.2,12.7
 Clayton,Kershaw,477132,87.1,Slider,27.9,4.7
 Ross,Stripling,548389,91.9,4-Seamer,14.1,4.4
 Bailey,Ober,641927,92.3,4-Seamer,16.2,6.4
 Chad,Green,643338,95.7,4-Seamer,10.7,4.5
 Chris,Bassitt,605135,92.7,Sinker,21.6,16.5
 Zach,Davies,605200,78.5,Changeup,36.5,13.7
 Austin,Adams,613534,86.9,Slider,35.3,10
 Alec,Mills,621219,89.1,Sinker,26.9,16.1
 Cal,Quantrill,615698,94.3,Sinker,16.6,13.3
 Eric,Lauer,641778,92.5,4-Seamer,14.9,10.2
 Kyle,Finnegan,640448,95.6,Sinker,14.5,11.6
 Luis,Patino,672715,95.7,4-Seamer,11.4,4.2
 Chris,Flexen,623167,89.1,Cutter,27,5
 Logan,Webb,657277,92.8,Sinker,31.7,15.2
 Brad,Keller,641745,86.1,Slider,40.6,6.1
 Joe,Musgrove,605397,84.1,Slider,40.5,14
 Richard,Rodriguez,593144,93.1,4-Seamer,16.6,13.4
 Taylor,Widener,642203,92.6,4-Seamer,16.7,5.8
 Jose,Berrios,621244,94.1,4-Seamer,16.5,9.9
 Jose,Alvarado,621237,99.4,Sinker,15,14.7
 Aaron,Nola,605400,78.5,Curveball,55.1,14.6
 Jose,Urena,570632,93.8,Sinker,23.9,15.9
 Shane,McClanahan,663556,96.4,4-Seamer,13.3,10.5
 Zack,Wheeler,554430,91.5,Slider,26.7,2.3
 Joe,Ross,605452,93.5,Sinker,20.9,14.2
 Madison,Bumgarner,518516,86,Cutter,28.9,2.8
 Merrill,Kelly,518876,91.7,4-Seamer,16.9,7.2
 Patrick,Corbin,571578,92.6,Sinker,19.4,14
 Jake,McGee,459429,94.9,4-Seamer,15,11.5
 Drew,Rasmussen,656876,97.1,4-Seamer,11.6,4.4
 Dallas,Keuchel,572971,79.6,Changeup,37.9,14.7
 Alex,Colome,517008,89.5,Cutter,26.8,2.4
 Adbert,Alzolay,640470,86.2,Slider,33.4,7.3
 Jorge,Lopez,605347,95.3,Sinker,19.7,16.1
 Taylor,Hearn,621368,95.1,4-Seamer,13.6,6.3
 Lance,Lynn,458681,88.7,Cutter,29.8,2.7
 Kyle,Hendricks,543294,80,Changeup,32,13.2
 Patrick,Corbin,571578,92.3,4-Seamer,17.1,8
 Antonio,Senzatela,622608,86.1,Slider,34.1,5
 Lucas,Luetge,476595,88.3,Cutter,27.5,4.8
 Liam,Hendriks,521230,97.7,4-Seamer,10.2,6.8
 Jeff,Hoffman,656546,94.3,4-Seamer,12.6,10.4
 Wil,Crowe,640444,93.7,4-Seamer,14.5,3.1
 Matt,Harvey,518774,93.4,4-Seamer,17,12.3
 Chi Chi,Gonzalez,592346,91.9,4-Seamer,20.6,2.8
 Tyler,Matzek,554431,96,4-Seamer,11.7,4.9
 Luis,Castillo,622491,97.3,Sinker,24.5,17.6
 Brandon,Woodruff,605540,96.2,Sinker,16.8,14
 German,Marquez,608566,86.2,Slider,34.9,1.5
 Austin,Gomber,596295,91.6,4-Seamer,14.6,5.9
 Madison,Bumgarner,518516,90.4,4-Seamer,18.2,8.5
 Sandy,Alcantara,645261,90.4,Slider,30.1,1.3
 Josh,Fleming,676596,91.2,Sinker,29.3,18.3
 Trevor,Williams,592866,91.5,4-Seamer,19.9,3.9
 Ian,Kennedy,453178,94.1,4-Seamer,13.3,10.8
 Jon,Lester,452657,88.7,4-Seamer,20,5
 Ranger,Suarez,624133,92.9,Sinker,23.9,15.8
 John,Gant,607231,91.6,Sinker,20.1,16.3
 Kwang Hyun,Kim,547942,89.1,4-Seamer,18.7,0.7
 Sandy,Alcantara,645261,91.8,Changeup,29.2,16.1
 Michael,Kopech,656629,97.3,4-Seamer,10.5,9.8
 Trevor,Stephan,663986,96.2,4-Seamer,15,9
 Sean,Manaea,640455,84.5,Changeup,31.7,12.2
 Emmanuel,Clase,661403,100.2,Cutter,16.4,2.7
 Lance,McCullers Jr.,621121,86,Slider,32.5,13.7
 Huascar,Ynoa,660623,85.1,Slider,41.7,2.4
 Matt,Moore,519043,92.4,4-Seamer,16.9,12.8
 Michael,Wacha,608379,93.8,4-Seamer,12.6,6.8
 Matt,Wisler,605538,81.5,Slider,41.8,9.6
 Pierce,Johnson,572955,84.3,Curveball,43.5,11
 Jacob,deGrom,594798,99.2,4-Seamer,11.4,9.1
 Tyler,Anderson,542881,85,Cutter,27.8,2.2
 Sean,Doolittle,448281,93.1,4-Seamer,11.6,3.6
 Joe,Musgrove,605397,82.1,Curveball,54.7,11
 Wade,Miley,489119,81.9,Changeup,33.9,14.8
 Ryan,Weathers,677960,94,4-Seamer,16.9,11.6
 Ryan,Yarbrough,642232,78.4,Changeup,38.4,17.4
 Carlos,Hernandez,672578,97.1,4-Seamer,11.8,6.9
 Brad,Keller,641745,94.2,4-Seamer,16.7,1
 Lance,McCullers Jr.,621121,84.1,Curveball,49.2,11.9
 Ryne,Stanek,592773,97.6,4-Seamer,12.4,10.2
 Anthony,DeSclafani,543101,94.1,4-Seamer,14.6,9.6
 Cal,Quantrill,615698,88.2,Slider,29.5,2.7
 Tyler,Glasnow,607192,97,4-Seamer,11.9,1.8
 Luke,Weaver,596133,93.6,4-Seamer,13.8,7.4
 Eli,Morgan,669212,90.5,4-Seamer,16.1,11.4
 James,Karinchak,675916,95.9,4-Seamer,12,5.1
 Nabil,Crismatt,622503,82.3,Changeup,39,13.9
 Casey,Mize,663554,93.9,4-Seamer,15.3,9.1
 Hyun Jin,Ryu,547943,79.9,Changeup,36.2,14
 Brad,Keller,641745,93.7,Sinker,21.5,10.8
 Alex,Wood,622072,84,Slider,41.3,3.9
 Jordan,Lyles,543475,83.3,Slider,39.1,10.2
 Jack,Flaherty,656427,93.6,4-Seamer,15.8,4
 Ian,Anderson,666120,88.1,Changeup,23.1,10.1
 Justus,Sheffield,656954,92.3,Sinker,24.1,14.9
 Frankie,Montas,593423,87.5,Splitter,31.7,11.5
 Hyun Jin,Ryu,547943,86.3,Cutter,28.2,0.4
 Kris,Bubic,663460,80,Changeup,35,12.7
 Shane,McClanahan,663556,89.2,Slider,32.3,3.8
 Trevor,May,543507,96.5,4-Seamer,11.6,6.2
 Emilio,Pagan,641941,94.9,4-Seamer,12.1,5.8
 Adam,Wainwright,425794,84.9,Cutter,31.1,6.4
 Kwang Hyun,Kim,547942,83.5,Slider,34.8,5.2
 Sandy,Alcantara,645261,98.1,4-Seamer,14.8,10.6
 Zach,Eflin,621107,92.4,Sinker,24.5,16.9
 Alek,Manoah,666201,93.7,4-Seamer,15.4,5
 JT,Brubaker,664141,87.2,Slider,32.9,1.3
 Chris,Stratton,608717,93,4-Seamer,15.8,4.6
 Dallas,Keuchel,572971,85.1,Cutter,29.6,1.7
 Trevor,Bauer,545333,93.9,4-Seamer,11.2,9.9
 Alex,Cobb,502171,92.7,Sinker,19.8,15.5
 Drew,Steckenrider,608716,94,4-Seamer,12.4,8.7
 Carlos,Estevez,608032,97.1,4-Seamer,14.5,8.5
 Johnny,Cueto,456501,91.8,4-Seamer,17,11.7
 Chad,Kuhl,641771,88.2,Slider,32.1,3.6
 Clayton,Kershaw,477132,90.6,4-Seamer,14,0.5
 Clay,Holmes,605280,96,Sinker,23.9,15.2
 Casey,Mize,663554,85.9,Slider,34.9,3.8
 Gerrit,Cole,543037,88.4,Slider,34.4,5.3
 Mark,Melancon,453343,92,Cutter,21.9,0.9
 Max,Fried,608331,74.4,Curveball,65.3,8.3
 Mike,Foltynewicz,592314,93.8,4-Seamer,15.8,10.5
 Rex,Brothers,571521,94.5,4-Seamer,13.7,8.6
 Nestor,Cortes,641482,90.7,4-Seamer,14.7,5.6
 Nick,Pivetta,601713,78.6,Curveball,63.6,8
 Giovanny,Gallegos,606149,94.4,4-Seamer,13.3,9
 Sonny,Gray,543243,92.4,Sinker,22.4,13.2
 Kenta,Maeda,628317,82.1,Slider,35.5,5.2
 Hansel,Robles,570663,96.7,4-Seamer,12.9,12
 Paul,Sewald,623149,92.3,4-Seamer,18.5,12.5
 Brett,Anderson,474463,89.1,Sinker,24.9,14.5
 Jose,Suarez,660761,92.9,4-Seamer,17,9.1
 Framber,Valdez,664285,77.9,Curveball,61,13.5
 Griffin,Jax,643377,92.6,4-Seamer,15.8,12.1
 Jordan,Romano,605447,97.6,4-Seamer,10.7,5.3
 Tyler,Anderson,542881,80.9,Changeup,28.2,12.9
 Jake,Brentz,641394,96.9,4-Seamer,14.6,9.5
 Lucas,Giolito,608337,85.6,Slider,32.4,2.7
 Garrett,Richards,572070,88.1,Slider,37.3,3.1
 John,Means,607644,83.4,Changeup,22.7,12.8
 Yu,Darvish,506433,81.6,Slider,43.2,16.3
 Eduardo,Rodriguez,593958,85.4,Changeup,31.2,16.7
 Jordan,Montgomery,656756,82.5,Changeup,25.5,9.7
 Josiah,Gray,680686,94.6,4-Seamer,12.8,9.5
 Zach,Pop,647315,95.4,Sinker,23.1,16
 Craig,Stammen,489334,92.3,Sinker,19.8,13.4
 Gregory,Soto,642397,98.2,Sinker,17.2,15.9
 Devin,Williams,642207,83.7,Changeup,43.4,17
 Marcus,Stroman,573186,85,Slider,36.2,11.4
 Edwin,Diaz,621242,98.8,4-Seamer,16.6,14.8
 Diego,Castillo,650895,87.3,Slider,31,1.3
 Jose,Ruiz,614179,97,4-Seamer,11.4,6.4
 Kenley,Jansen,445276,92.5,Cutter,14.6,7.4
 Dillon,Tate,622253,95.5,Sinker,25.3,16.7
 Logan,Webb,657277,82.4,Slider,41.9,10.8
 Riley,Smith,642092,92.9,Sinker,22,14.1
 Freddy,Peralta,642547,80.5,Slider,39.2,14.3
 Jake,Diekman,518617,95.4,4-Seamer,16.7,14.2
 Caleb,Smith,592761,84.8,Slider,31.5,4.2
 Yu,Darvish,506433,94.5,4-Seamer,11.8,6.3
 Jon,Lester,452657,86.4,Cutter,25.8,1.8
 Austin,Voth,608723,94.2,4-Seamer,13.6,5.2
 Jordan,Montgomery,656756,80,Curveball,46.7,1
 Garrett,Whitlock,676477,95.9,Sinker,18.2,16
 Carlos,Rodon,607074,85.8,Slider,38.2,8.2
 Tyler,Kinley,641755,90.2,Slider,27.8,0.7
 Jeurys,Familia,544727,96.4,Sinker,26,16.2
 Huascar,Ynoa,660623,96.5,4-Seamer,12.6,7.7
 Steven,Matz,571927,85.1,Changeup,34.6,15.9
 Trevor,Rogers,669432,84.8,Changeup,36.6,13.4
 Tim,Mayza,641835,94,Sinker,22.1,17
 Jonathan,Loaisiga,642528,98.3,Sinker,16.6,15.6
 Trevor,Richards,670950,92.7,4-Seamer,12.3,5.8
 Nick,Pivetta,601713,86,Slider,35.2,5.5
 Josh,Hader,623352,96.4,4-Seamer,12.1,9.8
 Daniel,Hudson,543339,97,4-Seamer,12.7,10.3
 Cole,Irvin,608344,84.3,Changeup,29.5,12.8
 Codi,Heuer,676051,95.9,4-Seamer,16.5,14.4
 Aaron,Nola,605400,85.2,Changeup,35.6,15
 Matt,Manning,666159,93.5,4-Seamer,14.5,2.8
 Garrett,Crochet,676979,96.7,4-Seamer,11.5,4.6
 Frankie,Montas,593423,88.9,Slider,29.3,5.1
 Josh,Sborz,622250,96.7,4-Seamer,10.2,6.7
 Craig,Kimbrel,518886,96.5,4-Seamer,14.8,10.3
 Aaron,Bummer,607481,95.4,Sinker,29.2,15.4
 Alex,Cobb,502171,87.5,Splitter,32.2,13.8
 Tyler,Alexander,641302,86.2,Cutter,28,3.7
 Tarik,Skubal,669373,86.5,Slider,32.6,1.8
 Zack,Wheeler,554430,96.7,Sinker,17.9,15.7
 Sergio,Romo,489265,77,Slider,38.3,13.7
 Johan,Oviedo,670912,94.9,4-Seamer,18.9,6.1
 Michael,Wacha,608379,86.9,Changeup,26.8,13.8
 Phil,Maton,664208,91.5,4-Seamer,19.1,0.8
 Joe,Musgrove,605397,93.3,4-Seamer,18.6,5.2
 Nick,Wittgren,621295,92.5,4-Seamer,16.9,8.4
 Zack,Littell,641793,94.9,4-Seamer,13,6.5
 Wander,Suero,593833,92,Cutter,18.5,1.6
 Brad,Boxberger,502202,93.5,4-Seamer,14.1,6.1
 Mike,Minor,501985,85.6,Slider,35.1,5.3
