 first_name,last_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
 Mike,Mayers,594577,94.5,4-Seamer,14.3,11.4
 Bruce,Zimmermann,669145,91.4,4-Seamer,16.5,6.3
 Matt,Foster,641582,93.6,4-Seamer,12.6,6.6
 Matt,Harvey,518774,92.9,Sinker,19.2,16.2
 Kyle,Gibson,502043,83.5,Slider,40.2,5.6
 Lucas,Gilbreath,656458,93.3,4-Seamer,16.1,0.2
 Kenta,Maeda,628317,90.6,4-Seamer,17.5,7.8
 Ian,Anderson,666120,80.7,Curveball,48.4,1
 Hector,Neris,593576,94.1,4-Seamer,15,9.5
 Keegan,Thompson,624522,93.9,4-Seamer,15.7,6.1
 Matt,Barnes,598264,95.8,4-Seamer,12.4,10.9
 Brad,Hand,543272,80.1,Slider,45.6,16.8
 Paul,Sewald,623149,81.7,Slider,35.1,13.3
 Chris,Bassitt,605135,93.2,4-Seamer,16.9,7.7
 Jorge,Lopez,605347,95.3,4-Seamer,15.1,9.5
 Domingo,German,593334,93.4,4-Seamer,15.6,8.9
 Chad,Green,643338,85,Curveball,40.8,7.9
 Martin,Perez,527048,84.8,Changeup,28.5,14.7
 Jameson,Taillon,592791,80.7,Curveball,55,10.2
 Spenser,Watkins,657093,90.8,4-Seamer,15.4,0.3
 Justin,Dunn,643290,93.7,4-Seamer,12.5,9.6
 Anthony,Bender,669622,84.6,Slider,40.6,9.1
 Jose,Suarez,660761,82.3,Changeup,31.6,7.8
 Randy,Dobnak,677976,91.6,Sinker,32.9,16.2
 Dylan,Cease,656302,79.9,Curveball,61.7,5.3
 Tim,Hill,657612,92.1,4-Seamer,28.3,18.9
 Ryan,Helsley,664854,97.4,4-Seamer,11.8,3.6
 Austin,Gomber,596295,85.2,Slider,34.4,5.3
 Mitch,Keller,656605,86.1,Slider,36.2,3.2
 Pete,Fairbanks,664126,97.1,4-Seamer,11.1,1.2
 Merrill,Kelly,518876,91.6,Sinker,23.9,15.3
 Matt,Barnes,598264,85.3,Curveball,47.6,3.8
 John,Gant,607231,80.1,Changeup,36,12.8
 Marcus,Stroman,573186,86.1,Splitter,35.2,12.1
 Will,Smith,519293,82.2,Slider,37.2,5.9
 Andrew,Kittredge,552640,88.9,Slider,33.7,7.7
 Tanner,Houck,656557,94.5,4-Seamer,22.7,6.3
 Ryan,Yarbrough,642232,71.1,Curveball,49.3,15.5
 Griffin,Canning,656288,93.5,4-Seamer,12.5,9.3
 Johnny,Cueto,456501,82.7,Changeup,35.9,11.7
 Shohei,Ohtani,660271,82.2,Slider,37.6,15.9
 Josh,Fleming,676596,86.3,Cutter,29.9,0.5
 Jesus,Luzardo,666200,95.1,Sinker,17.2,16
 Merrill,Kelly,518876,81.3,Curveball,51.3,9.1
 Danny,Duffy,518633,93.7,4-Seamer,11.9,5.3
 Chris,Bassitt,605135,88.8,Cutter,25,0.7
 Justin,Steele,657006,93.1,4-Seamer,16,2
 Brad,Hand,543272,92.9,4-Seamer,16.7,11.9
 Walker,Buehler,621111,84.9,Slider,37.1,14.2
 Miguel,Castro,612434,85.7,Slider,36.4,11.5
 Tony,Gonsolin,664062,93.8,4-Seamer,13.4,6.8
 Jose,Cisnero,542585,96.7,4-Seamer,14.3,10.5
 Andrew,Kittredge,552640,95.4,Sinker,20.1,15.9
 Archie,Bradley,605151,94,4-Seamer,14.7,8.4
 Jon,Lester,452657,81.3,Changeup,34.4,10.9
 Tyler,Glasnow,607192,87.5,Slider,39.9,2.6
 Aaron,Loup,571901,92.3,Sinker,28.6,19.5
 Chris,Flexen,623167,82.7,Changeup,30.2,12.2
 Matt,Harvey,518774,86.9,Slider,29.8,1.6
 Tanner,Rainey,663432,96.3,4-Seamer,11.5,8.4
 Jose,Alvarez,501625,91.2,Sinker,23,16.8
 Hirokazu,Sawamura,617228,96,4-Seamer,13.2,8.3
 Chris,Flexen,623167,77.2,Curveball,59.1,7.9
 Aaron,Civale,650644,91.4,4-Seamer,15.1,3.4
 Kyle,Freeland,607536,86,Slider,32,2.5
 Kyle,Gibson,502043,89.5,Cutter,26,1.7
 Zack,Greinke,425844,71.1,Curveball,65.1,11.3
 Johnny,Cueto,456501,84.4,Slider,32,1.4
 Jesus,Luzardo,666200,95.9,4-Seamer,14.5,12.8
 Duane,Underwood Jr.,621249,94.1,4-Seamer,15.4,8.4
 Griffin,Jax,643377,83.3,Slider,41.1,11.1
 Ryan,Tepera,572193,86.5,Slider,32.1,4.1
 Jake,Woodford,663765,91.4,Sinker,23.3,12.9
 Steven,Matz,571927,77.6,Curveball,54.8,13.3
 Andrew,Chafin,605177,92.1,Sinker,19.1,14.3
 Tanner,Houck,656557,84.4,Slider,37.7,13.6
 Gregory,Soto,642397,88.3,Slider,30.3,2.5
 Merrill,Kelly,518876,87.2,Changeup,30.3,15.2
 Wade,Miley,489119,89.9,4-Seamer,17.1,2.8
 Amir,Garrett,607237,85.2,Slider,35.1,1.3
 Patrick,Sandoval,663776,84.6,Changeup,28.2,13.1
 Daniel,Bard,453268,97.5,4-Seamer,18.7,9.5
 Dinelson,Lamet,659275,86.5,Slider,31.9,0.4
 Richard,Bleier,542947,90,Sinker,30.6,15.2
 Max,Scherzer,453286,85,Changeup,33.9,15.2
 Elieser,Hernandez,622694,90.9,4-Seamer,15.8,5.3
 Paolo,Espino,502179,71.1,Curveball,74,12.9
 Gerrit,Cole,543037,89.8,Changeup,24,15.8
 Zach,Thompson,605507,87.1,Cutter,30.5,3.8
 Marcus,Stroman,573186,89.9,Cutter,28.7,2
 Jordan,Montgomery,656756,92.6,4-Seamer,15.3,7.4
 Jake,Arrieta,453562,88.3,Slider,28.1,3.4
 Walker,Buehler,621111,80.1,Curveball,57.7,10.7
 Connor,Brogdon,641401,96,4-Seamer,13.2,10.4
 Emilio,Pagan,641941,86.4,Cutter,33.4,2.8
 Aaron,Nola,605400,92,Sinker,23.6,17.5
 J.C.,Mejia,650496,92.6,Sinker,29.8,14.6
 Mike,Minor,501985,80.4,Curveball,54.7,7
 Dane,Dunning,641540,79.7,Slider,48.2,4.6
 Vladimir,Gutierrez,661269,83.3,Slider,37.3,9.4
 David,Price,456034,92.9,Sinker,21.7,14.8
 Jacob,deGrom,594798,91.6,Slider,28.9,4.7
 Mychal,Givens,571710,94.7,4-Seamer,18,8.8
 Andrew,Heaney,571760,83.8,Changeup,31.6,17.2
 Jake,Odorizzi,543606,84.7,Splitter,32.5,11.2
 Scott,Barlow,605130,95.3,4-Seamer,15.8,5.3
 Amir,Garrett,607237,94.8,4-Seamer,15.5,9.4
 J.A.,Happ,457918,83,Slider,36.1,2.5
 Taylor,Clarke,664199,95.5,4-Seamer,12.6,6.1
 Nathan,Eovaldi,543135,85.8,Slider,35.1,6.1
 Charlie,Morton,450203,94.6,Sinker,24.7,17.4
 Jose,Berrios,621244,84.8,Changeup,33.6,13.9
 Greg,Holland,518813,92.8,4-Seamer,14.2,0.2
 Craig,Kimbrel,518886,86.1,Curveball,42.6,10.4
 Dominic,Leone,608678,95.5,4-Seamer,14.5,6
 Deolis,Guerra,500610,90.7,4-Seamer,16.1,12
 Anthony,Bass,542914,95.3,Sinker,15.8,13.3
 Brandon,Woodruff,605540,86.5,Changeup,29.7,14.7
 Bryan,Garcia,650530,94,Sinker,16.4,11.5
 Andrew,Miller,453192,78.1,Slider,44.2,13.3
 John,King,667463,92.2,Sinker,30.5,15.7
 Jon,Lester,452657,87.6,Sinker,29.1,12.3
 Hunter,Strickland,519326,83.8,Slider,39.4,10
 Cole,Irvin,608344,83,Slider,38,2.5
 Touki,Toussaint,657053,92.7,Sinker,24.8,14.1
 Mitch,White,669952,94.4,4-Seamer,13.8,3
 Yency,Almonte,622075,94.2,4-Seamer,19.4,7.1
 Zach,Eflin,621107,87.6,Slider,26.4,1.9
 Shane,Bieber,669456,85.7,Slider,35.6,2.1
 Rafael,Dolis,503569,94.8,Sinker,16.2,14.4
 Paul,Fry,643316,85.1,Slider,41.5,13.1
 Corey,Kluber,446372,81.9,Curveball,40.7,16.9
 Wil,Crowe,640444,85,Changeup,32.7,9.8
 Ranger,Suarez,624133,85,Changeup,31.4,15.2
 Derek,Holland,502706,93.1,Sinker,17.5,15.7
 Zack,Greinke,425844,83.6,Slider,36,7.9
 Edgar,Santana,650828,94.3,Sinker,24.6,15.3
 Spencer,Patton,607359,93.4,4-Seamer,15.7,9.6
 Jose,Urena,570632,85.3,Slider,31.5,2.1
 Trevor,Stephan,663986,83.8,Slider,37.3,10.4
 Sean,Newcomb,656794,95.6,4-Seamer,13.7,5.1
 Mike,Mayers,594577,85.1,Slider,36.9,3
 A.J.,Minter,621345,89,Cutter,30.3,5.1
 Joey,Lucchesi,664192,91,Sinker,19,14
 Craig,Stammen,489334,80.4,Curveball,53.6,8.1
 Alex,Reyes,621052,96.6,4-Seamer,11.8,5.2
 John,Gant,607231,85.4,Cutter,31.3,1.7
 Kyle,Gibson,502043,84.8,Changeup,33.9,14.5
 Chad,Kuhl,641771,94.3,4-Seamer,17,10.3
 Lou,Trivino,642152,95.9,Sinker,20.1,16.6
 Alexander,Wells,649144,88.5,4-Seamer,16.7,7.9
 Sam,Coonrod,656322,97.7,Sinker,18.1,16
 Dennis,Santana,642701,95.3,Sinker,20.6,17.7
 Blake,Treinen,595014,86.4,Slider,37.3,13.3
 Lance,McCullers Jr.,621121,85.8,Changeup,37.6,17.2
 John,Means,607644,78,Curveball,52.2,13.1
 Josh,Tomlin,458708,86,Cutter,26,3.5
 Jack,Flaherty,656427,83.7,Slider,34.8,7.4
 Chi Chi,Gonzalez,592346,85.7,Slider,34,3.4
 Brandon,Kintzler,445213,92,Sinker,21.6,16
 Josh,Staumont,622251,81.3,Curveball,54.4,9.7
 Anthony,Kay,641743,94.5,4-Seamer,15.3,5.8
 Chase,De Jong,608328,92.9,4-Seamer,13.2,2.7
 Jordan,Romano,605447,88.4,Slider,35.7,3.4
 Caleb,Thielbar,573204,80.2,Slider,41.2,14.4
 Jhoulys,Chacin,468504,81.2,Curveball,40.1,12.3
 Edwin,Diaz,621242,90.6,Slider,27.4,1.1
 J.B.,Wendelken,605525,94.3,4-Seamer,16.4,2.8
 Triston,McKenzie,663474,86.4,Slider,31.4,4.9
 Kris,Bubic,663460,78.5,Curveball,59.5,8.3
 Shawn,Armstrong,542888,93.8,4-Seamer,14.9,3.6
 Robert,Stephenson,596112,96.5,4-Seamer,14.1,12.1
 Chasen,Shreve,592741,91.6,4-Seamer,15.5,9.3
 Luke,Jackson,592426,95.8,4-Seamer,12.3,7.2
 Ryan,Pressly,519151,95.4,4-Seamer,12.9,1
 Kyle,Freeland,607536,80.2,Curveball,51.6,5.6
 Matt,Andriese,542882,92,4-Seamer,15,6.9
 Wandy,Peralta,593974,87.8,Changeup,29.6,17.2
 Wily,Peralta,503449,93.6,4-Seamer,15.4,6.9
 Mike,Mayers,594577,91.2,Cutter,21.1,1.3
 Trevor,Bauer,545333,85.3,Cutter,36.8,5.1
 Brett,Anderson,474463,82.2,Changeup,33,13.8
 A.J.,Minter,621345,96.1,4-Seamer,13,6.3
 Jose,Ruiz,614179,85.5,Curveball,42.9,2.6
 Nathan,Eovaldi,543135,87.9,Splitter,33.6,11
 Yimi,Garcia,554340,96,4-Seamer,17.2,6.7
 Hirokazu,Sawamura,617228,91.6,Splitter,28.6,7.2
 Jose,Suarez,660761,78.3,Curveball,51.7,10.5
 Logan,Allen,663531,92.7,4-Seamer,16.3,6.9
 Raisel,Iglesias,628452,96.3,4-Seamer,13.3,9.8
 Zack,Littell,641793,87.8,Slider,28.6,2.9
 Nathan,Eovaldi,543135,92.5,Cutter,20.3,0.5
 Jose,Quijada,650671,93.6,4-Seamer,15.9,6.6
 Daniel,Lynch,663738,85.1,Slider,36.6,0.2
 Shohei,Ohtani,660271,88.1,Splitter,32.9,4.9
 Kyle,Gibson,502043,92.8,4-Seamer,15.5,5.6
 Sam,Howard,607572,93.4,4-Seamer,13.5,9.8
 Josh,Taylor,657031,87.2,Slider,31.6,5.2
 Taylor,Hearn,621368,93.8,Sinker,20.4,14.9
 Ranger,Suarez,624133,93.7,4-Seamer,19,7.4
 Kyle,Keller,664918,94.5,4-Seamer,13.2,7.2
 Corey,Kluber,446372,87.6,Cutter,27.9,3.8
 Mark,Melancon,453343,82.2,Curveball,55.4,4
 Dinelson,Lamet,659275,95.5,4-Seamer,13.6,5.2
 Miguel,Diaz,622766,86,Changeup,33.6,17.3
 Luis,Patino,672715,86,Slider,30.4,8.2
 Drew,Rasmussen,656876,86.4,Slider,39.5,3.7
 Adbert,Alzolay,640470,94,4-Seamer,14.2,7.8
 Tony,Santillan,663574,95,4-Seamer,15.8,10.5
 Taijuan,Walker,592836,89.5,Splitter,27.7,13.7
 Joakim,Soria,465657,92.8,4-Seamer,14.2,4.9
 Nestor,Cortes,641482,85.4,Cutter,30.7,5.2
 Kyle,Funkhouser,608335,86.7,Slider,34.4,4
 Josh,Fleming,676596,81.8,Changeup,40.8,13.5
 Marco,Gonzales,594835,75.2,Curveball,61.5,6.1
 Steven,Okert,595345,80.6,Slider,37.1,10.5
 Adam,Cimber,643256,87,Sinker,45.5,12.3
 Jake,Faria,607188,92.3,4-Seamer,13.8,4.3
 Austin,Gomber,596295,83.1,Changeup,28.1,9.9
 Jake,Diekman,518617,83.3,Slider,37.5,13.2
 Triston,McKenzie,663474,79.3,Curveball,52.2,6.1
 Yency,Almonte,622075,83.7,Slider,37.5,7.5
 Jordan,Montgomery,656756,87.3,Cutter,27.1,0.3
 Cole,Sulser,642121,84,Changeup,33.2,13.5
 Kyle,McGowin,641851,81.1,Slider,41.8,9.8
 Matt,Shoemaker,533167,85.2,Splitter,33.1,11.3
 Jorge,Alcala,660896,89.7,Slider,29.2,3
 Ryne,Harper,607560,71.5,Curveball,61.5,13.5
 Domingo,German,593334,86.5,Changeup,28.9,17.5
 Tony,Santillan,663574,85.1,Slider,40.7,11.9
 James,Kaprielian,621076,85.3,Slider,32.9,0.8
 Justin,Wilson,458677,93.5,4-Seamer,12.2,6.4
 Tim,Hill,657612,91.1,Sinker,34.8,18.4
 Wily,Peralta,503449,81.3,Splitter,34.7,10.2
 Trent,Thornton,663423,93.9,4-Seamer,13.9,3.2
 Carlos,Martinez,593372,93.4,4-Seamer,19.2,8.8
 Carlos,Carrasco,471911,93.4,4-Seamer,16.3,7
 Chris,Sale,519242,93.6,4-Seamer,19.3,13.2
 T.J.,McFarland,519008,88.8,Sinker,35.5,16.9
 John,Curtiss,595928,94.9,4-Seamer,13.3,6
 Zac,Gallen,668678,86.1,Changeup,33.4,12.7
 Patrick,Sandoval,663776,93.3,4-Seamer,15,2.7
 Andres,Machado,600921,94.9,4-Seamer,13.2,4.2
 Wily,Peralta,503449,82.6,Slider,39.1,1.3
 Jackson,Kowar,663804,95.6,4-Seamer,15,12.5
 Dylan,Floro,571670,93.7,Sinker,21.6,16.8
 Chris,Stratton,608717,80.2,Curveball,51.6,15.6
 Taylor,Rogers,573124,84,Slider,35.7,10.5
 Buck,Farmer,571656,94,4-Seamer,15.4,11.8
 Kolby,Allard,663465,83.6,Changeup,29.2,14.1
 Jesus,Luzardo,666200,86.6,Changeup,29,16.2
 Bailey,Falter,663559,91.8,4-Seamer,14.8,7.4
 Sonny,Gray,543243,82,Slider,46.7,17.3
 Hansel,Robles,570663,89.3,Changeup,26.3,14.2
 Mason,Thompson,666168,96.2,Sinker,19.4,14.8
 Keegan,Akin,669211,84.2,Slider,35.5,4.5
 Keegan,Akin,669211,81.9,Changeup,32.6,15.3
 Rex,Brothers,571521,86.2,Slider,35.6,1
 Chasen,Shreve,592741,82.9,Splitter,36,10.3
 Drew,Smith,622098,95,4-Seamer,13.2,6.8
 Alex,Reyes,621052,86.4,Slider,36.8,8.2
 John,Curtiss,595928,87.6,Slider,34.8,4.3
 Zack,Wheeler,554430,81.5,Curveball,52.9,9.8
 Kyle,Zimmer,622092,83.4,Slider,37.4,2.5
 Will,Vest,676684,93.5,4-Seamer,16.9,11.3
 Ryan,Pressly,519151,90.5,Slider,29.3,4.7
 Taylor,Hearn,621368,84.3,Slider,34.1,5.2
 Pierce,Johnson,572955,95.5,4-Seamer,13.9,11.2
 Hyun Jin,Ryu,547943,73.9,Curveball,64.2,11.7
 Erik,Swanson,657024,94.7,4-Seamer,11.6,8.5
 Adrian,Houser,605288,80,Curveball,55.7,5.4
 Jaime,Barria,642545,85.9,Slider,30.8,2.2
 Juan,Minaya,573668,95.2,4-Seamer,16.2,10.9
 Tyler,Alexander,641302,90.2,Sinker,20.5,14.5
 Joel,Payamps,606303,94.8,4-Seamer,14,9.1
 Lucas,Sims,608371,95.1,4-Seamer,12.2,8.5
 Jhoulys,Chacin,468504,92.9,Sinker,21.9,12.8
 Eric,Lauer,641778,90.3,Cutter,21.1,4
 Brandon,Bielak,656232,94,4-Seamer,15.8,5.2
 Deolis,Guerra,500610,81.7,Changeup,34.3,13.1
 Ryan,Yarbrough,642232,86.4,Sinker,25.4,14.2
 Adam,Plutko,592644,87.7,Cutter,25.4,2.9
 Phillips,Valdez,570488,85.3,Changeup,37,17.2
 Merrill,Kelly,518876,90.9,Cutter,20.2,1.6
 Michael,Fulmer,605242,95.7,Sinker,16.9,13.5
 Michael,Kopech,656629,84.1,Slider,39.3,9.2
 Eli,Morgan,669212,85.2,Slider,30.4,2.9
 Alec,Mills,621219,88.7,4-Seamer,20.7,9.4
 Luke,Weaver,596133,85.3,Changeup,26.9,12.6
 Corey,Kluber,446372,90.7,Sinker,24.7,15.5
 David,Peterson,656849,92.4,Sinker,20,15.9
 Cal,Quantrill,615698,94.4,4-Seamer,14.5,8.4
 Jose,Quintana,500779,78.8,Curveball,49.4,10.2
 Blake,Parker,453284,90.7,4-Seamer,17.3,2.7
 Adam,Cimber,643256,87,4-Seamer,31.9,11.8
 Mychal,Givens,571710,82.3,Changeup,42.3,8.9
 Connor,Brogdon,641401,84.6,Changeup,29.2,17.1
 Devin,Williams,642207,95.4,4-Seamer,15.2,12.9
 Tarik,Skubal,669373,94.5,Sinker,19.1,15.1
 Sergio,Romo,489265,85.5,Sinker,33.5,18.7
 Vladimir,Gutierrez,661269,77.7,Curveball,53,15
 Dylan,Floro,571670,93.8,4-Seamer,16,9.8
 Max,Kranick,668820,94.2,4-Seamer,13.6,6.6
 Adam,Cimber,643256,78.4,Slider,40.1,6.2
 Marco,Gonzales,594835,85.5,Cutter,23.7,2.9
 David,Peterson,656849,92.7,4-Seamer,17,10.3
 Blake,Treinen,595014,93.3,Cutter,22.9,0.3
 Zach,Thompson,605507,92.2,4-Seamer,17.2,2.5
 Alec,Mills,621219,79.1,Changeup,39.6,15
 Ross,Detwiler,446321,85.2,Cutter,32.8,0.4
 Tylor,Megill,656731,85.4,Changeup,28.9,13.2
 Jake,Cousins,664776,83.3,Slider,39.2,8.5
 Alex,Colome,517008,93.7,4-Seamer,13,2.4
 Matt,Peacock,676840,87.3,Slider,34.5,0.6
 Drew,Pomeranz,519141,93.9,4-Seamer,12.3,2.3
 Kyle,Freeland,607536,85.8,Changeup,29.6,10.9
 J.A.,Happ,457918,86.1,Changeup,28,13.9
 Kyle,Hendricks,543294,73.2,Curveball,63.4,14.9
 Eli,Morgan,669212,74.8,Changeup,43.8,14.7
 Trevor,Rogers,669432,81.8,Slider,37.5,1.7
 Raisel,Iglesias,628452,85.1,Slider,34,8.7
 Hector,Santiago,502327,90.9,4-Seamer,17.8,12
 Shane,McClanahan,663556,82.5,Curveball,50.9,6
 Duane,Underwood Jr.,621249,87.8,Changeup,28.1,14.5
 Jaime,Barria,642545,93.2,4-Seamer,14.9,4.4
 Miguel,Diaz,622766,94.4,4-Seamer,15.7,12.9
 Collin,McHugh,543521,87.5,Cutter,27.9,2.8
 James,Karinchak,675916,83.2,Curveball,47.9,1
 Dylan,Bundy,605164,79.9,Slider,45.4,4.4
 Pete,Fairbanks,664126,85.6,Slider,42.4,2.5
 Marcos,Diplan,650959,93.7,4-Seamer,14,0.8
 JT,Chargois,608638,96.3,Sinker,21.1,18
 Jorge,Alcala,660896,97.4,4-Seamer,12.9,10.7
 Jose,Urquidy,664353,79.3,Slider,42,13.6
 Cal,Quantrill,615698,85,Changeup,28.3,10.8
 Reynaldo,Lopez,625643,86.7,Slider,32.1,5.6
 Josh,Sborz,622250,88,Slider,34.4,0.7
 Adrian,Houser,605288,94.1,4-Seamer,15.4,8.4
 Chris,Rodriguez,669735,95.8,Sinker,21.5,17.7
 Nabil,Crismatt,622503,71.5,Curveball,68.4,13.6
 Demarcus,Evans,663770,91,4-Seamer,10.9,1.9
 James,Kaprielian,621076,83.7,Changeup,36.5,9.6
 Anthony,Misiewicz,664948,94.3,4-Seamer,14.7,8.6
 Jeffrey,Springs,605488,93.4,4-Seamer,13.5,10.9
 Adam,Ottavino,493603,94.6,Sinker,23.6,15.1
 Ryan,Tepera,572193,93.3,4-Seamer,14.6,7.9
 Sam,Hentges,656529,80.2,Curveball,57.5,7.1
 Trevor,Williams,592866,83,Slider,38.5,6.5
 Kevin,Ginkel,656464,94.7,4-Seamer,14.8,10.6
 Jacob,Barnes,606930,94.7,4-Seamer,11.9,2.8
 Casey,Mize,663554,85.8,Splitter,36.8,12.1
 Matt,Harvey,518774,79.9,Curveball,49.8,11.8
 Trevor,Bauer,545333,80.8,Slider,44.6,17.2
 Blake,Snell,605483,79.5,Curveball,55.9,11.1
 Wade,Davis,451584,92.7,4-Seamer,14.1,3.1
 Ross,Stripling,548389,87.1,Slider,29.7,4.1
 Emmanuel,Clase,661403,91.9,Slider,31.4,6.2
 Bryan,Abreu,650556,95.7,4-Seamer,13,8
 Sammy,Long,669674,92.6,4-Seamer,14,7.1
 Clay,Holmes,605280,87.7,Slider,36.9,2.5
 Luis,Garcia,677651,79.9,Slider,45.9,15.9
 Zac,Lowther,675912,90.7,4-Seamer,17.6,12.1
 Trevor,Richards,670950,84.5,Changeup,28.3,15
 Adrian,Sampson,592716,91.8,Sinker,20.3,13.2
 Brusdar,Graterol,660813,100,Sinker,20.2,14.3
 Tarik,Skubal,669373,82.1,Changeup,28.5,8.7
 Rafael,Montero,606160,95.7,4-Seamer,15.6,9
 Jake,Brentz,641394,85.2,Slider,40.2,3.3
 Aaron,Civale,650644,77,Curveball,62,9.2
 Nestor,Cortes,641482,77.4,Slider,41.1,14.5
 Joely,Rodriguez,570257,94,Sinker,25.4,18
 Victor,Gonzalez,624647,94.3,Sinker,22.8,17.5
 Keynan,Middleton,641871,95.4,4-Seamer,12.6,7.6
 Eduardo,Rodriguez,593958,92.5,Sinker,21.9,14.9
 Justus,Sheffield,656954,85.7,Changeup,33.7,12.6
 Ryan,Weathers,677960,93.7,Sinker,17.4,14.7
 Joe,Kelly,523260,87.1,Curveball,45.9,8.5
 Josiah,Gray,680686,83.8,Curveball,42.1,1.5
 Caleb,Smith,592761,82.1,Changeup,26.6,13.9
 Zach,Pop,647315,85.9,Slider,38.3,6.3
 Tyler,Alexander,641302,83.7,Changeup,31.5,13.2
 Sam,Hentges,656529,86.1,Slider,34.2,3.4
 Ross,Detwiler,446321,91.9,4-Seamer,16,10.5
 Domingo,Tapia,593619,97.2,Sinker,20,16.7
 Ryan,Burr,621114,94.7,4-Seamer,14.7,1.4
 Jorge,Lopez,605347,88.5,Changeup,28.6,14.8
 Ryan,Hendrix,641682,85.9,Slider,39,0.3
 Jose,Cisnero,542585,88.4,Slider,29.8,4.3
 Jose,Urquidy,664353,84.4,Changeup,27.7,15.5
 Cody,Ponce,664074,93.2,4-Seamer,16,8.3
 Blake,Treinen,595014,97.4,Sinker,23,18.1
 Anthony,Misiewicz,664948,88.7,Cutter,27.1,0.6
 Juan,Minaya,573668,88.9,Changeup,35.2,12.4
 Spenser,Watkins,657093,86.7,Cutter,28.7,5.6
 Taylor,Rogers,573124,95.7,Sinker,22.7,17.4
 David,Price,456034,85.5,Changeup,31.8,14.7
 Tyler,Anderson,542881,89,Sinker,27.2,18
 Alex,Reyes,621052,96.7,Sinker,14.4,12.1
 Luis,Oviedo,665854,94.3,4-Seamer,14.1,7.6
 Tyler,Zuber,676604,94.6,4-Seamer,14.5,9
 Duane,Underwood Jr.,621249,80.6,Curveball,53.3,8.5
 Anthony,Banda,607455,94.1,4-Seamer,15.2,11.3
 Daniel,Norris,596057,86.9,Changeup,37.6,12.6
 Luis,Garcia,472610,98.3,Sinker,18.5,14.1
 Lou,Trivino,642152,95.7,4-Seamer,15.1,8.3
 Jeff,Hoffman,656546,82,Slider,44.6,6.3
 Max,Fried,608331,93.5,Sinker,20.8,10.6
 Trevor,Megill,656730,96.3,4-Seamer,13,4.7
 Carlos,Martinez,593372,82.5,Slider,38.9,11.3
 Vince,Velasquez,592826,82,Curveball,51.7,5.8
 Josh,Taylor,657031,94.6,4-Seamer,14.6,3.7
 Jordan,Sheffield,642068,96.4,4-Seamer,12.7,7.3
 Matt,Andriese,542882,86,Changeup,35.4,4.1
 Kyle,Keller,664918,81.4,Curveball,46.9,7.1
 Alex,Lange,656638,96.4,4-Seamer,13.7,10.5
 Cionel,Perez,672335,96,4-Seamer,14.3,4.4
 Nick,Mears,683232,95.6,4-Seamer,10.9,3.8
 Craig,Stammen,489334,89.1,Cutter,24.5,0.4
 Charlie,Barnes,656212,89.8,Sinker,24.9,13.8
 Kyle,Freeland,607536,91.3,Sinker,26,12.2
 Michael,Pineda,501381,85.5,Changeup,29.3,16.1
 Tylor,Megill,656731,85.7,Slider,34,2.4
 Caleb,Baragar,670056,92.8,4-Seamer,11.7,8.6
 Griffin,Canning,656288,88.2,Slider,35.3,1.5
 Yennsy,Diaz,660546,95.4,4-Seamer,15.7,8.1
 Adam,Wainwright,425794,89,4-Seamer,19.8,1.9
 Paul,Blackburn,621112,91,Sinker,21.9,12.5
 Austin,Gomber,596295,75.7,Curveball,64.7,5.5
 Phil,Maton,664208,76,Curveball,57.6,19
 Louis,Head,545343,93.7,4-Seamer,14.4,6
 Robert,Stephenson,596112,81.5,Curveball,47.8,10.5
 Matthew,Boyd,571510,79.9,Changeup,37,16.2
 Joe,Jimenez,641729,84.5,Slider,36.4,3.9
 Matthew,Boyd,571510,80.4,Slider,44.1,3.3
 Paolo,Espino,502179,77.6,Slider,43.4,18
 Luis,Gil,661563,96.1,4-Seamer,11.9,4.5
 Joely,Rodriguez,570257,88.4,Changeup,34.8,11.2
 Tyler,Matzek,554431,84.7,Slider,44.7,6.6
 Bruce,Zimmermann,669145,84.4,Changeup,28.2,16.4
 Mike,Foltynewicz,592314,85.3,Changeup,25.8,14
 Dennis,Santana,642701,83.7,Slider,40.9,3.9
 Johnny,Cueto,456501,91.6,Sinker,23,16.8
 Elieser,Hernandez,622694,79.3,Slider,33.2,10.9
 Derek,Holland,502706,81.4,Curveball,37.7,0.2
 Kenley,Jansen,445276,93.9,Sinker,11.9,6.9
 Yimi,Garcia,554340,90.4,Slider,27.5,3.6
 Nick,Neidert,663734,91.7,4-Seamer,20.6,14
 Aaron,Bummer,607481,83,Slider,45.1,17.9
 Garrett,Richards,572070,78.2,Curveball,65,11
 Anthony,Misiewicz,664948,80.7,Curveball,50.4,11
 Tony,Watson,453265,85.9,Changeup,30.3,19.9
 Lucas,Luetge,476595,81.3,Slider,43,9.2
 Kyle,Muller,666205,93.4,4-Seamer,16.2,6.5
 Nick,Sandlin,680704,79.3,Slider,36.7,12.5
 Mike,Foltynewicz,592314,76.7,Curveball,45.5,10.3
 Reiss,Knehr,663753,93.5,4-Seamer,15.4,6.1
 Justin,Dunn,643290,80.2,Curveball,42.7,16.6
 Ryan,Helsley,664854,88.2,Cutter,29.7,3.3
 Jose,Urena,570632,94.2,4-Seamer,16.9,9
 Brooks,Raley,548384,87.7,Cutter,28.3,4.2
