Pitcher,Pitch Type,Pitch Vel (MPH),VBreak (In.),HBreak (In.)
 Kenley Jansen,Cutter,92.7,15,7
 Brusdar Graterol,Sinker,101.2,21,18
 Brusdar Graterol,Sinker,101.7,17,18
 Brusdar Graterol,Sinker,100.8,17,17
 Brusdar Graterol,Sinker,100.8,15,17
 Brusdar Graterol,Sinker,100.2,20,16
 Brusdar Graterol,Sinker,100.1,16,16
 Brusdar Graterol,Sinker,101.4,17,15
 Brusdar Graterol,Sinker,100.4,18,16
 Brusdar Graterol,Sinker,99.9,20,15
 Will Smith,4-Seam Fastball,92.6,15,7
 Will Smith,Slider,82.9,37,4
 Will Smith,Slider,82.4,42,6
 Will Smith,4-Seam Fastball,92.5,14,8
 Will Smith,4-Seam Fastball,92.6,14,8
 Will Smith,Curveball,79.7,44,6
 Will Smith,Slider,82.3,42,4
 Will Smith,Slider,82.3,36,2
 Will Smith,Slider,81.4,36,8
 Will Smith,Slider,81.4,36,6
 Will Smith,Slider,82.7,38,1
 Will Smith,4-Seam Fastball,91.2,14,10
 Julio Urias,4-Seam Fastball,94.1,14,6
 Julio Urias,Curveball,82,39,15
 Julio Urias,Curveball,83.8,35,11
 Julio Urias,Curveball,82.7,41,17
 Julio Urias,4-Seam Fastball,94,14,2
 Julio Urias,Curveball,82.6,40,12
 Julio Urias,Curveball,82.2,40,12
 Julio Urias,Curveball,81.1,40,13
 Julio Urias,4-Seam Fastball,93.5,14,5
 Julio Urias,Curveball,82.4,39,13
 Julio Urias,4-Seam Fastball,93.9,13,4
 Julio Urias,Curveball,79.3,45,16
 Julio Urias,Curveball,79.4,47,20
 Julio Urias,Curveball,80.4,41,18
 Chris Martin,Cutter,92.4,24,1
 Chris Martin,Cutter,92.1,27,1
 Chris Martin,4-Seam Fastball,96.1,14,11
 Chris Martin,4-Seam Fastball,96.8,13,11
 Chris Martin,Cutter,93.4,24,2
 Chris Martin,Slider,83.8,50,7
 Chris Martin,Cutter,93,23,1
 Chris Martin,Cutter,92.3,24,1
 Chris Martin,Sinker,94.4,13,13
 Chris Martin,Cutter,92.5,24,2
 Blake Treinen,Sinker,99.1,20,20
 Blake Treinen,Sinker,97.2,22,19
 Blake Treinen,Sinker,96.9,23,18
 Blake Treinen,Sinker,96.4,24,18
 Blake Treinen,Sinker,96.6,22,17
 Blake Treinen,Slider,87.6,38,11
 Blake Treinen,Slider,84.3,42,11
 Blake Treinen,Sinker,95.9,24,20
 Blake Treinen,Sinker,96.6,23,20
 Luke Jackson,Slider,88.1,40,0
 Luke Jackson,Slider,88.7,40,2
 Luke Jackson,Slider,88.9,38,1
 Luke Jackson,Slider,90,37,5
 Luke Jackson,4-Seam Fastball,96.9,11,8
 Luke Jackson,4-Seam Fastball,96.1,10,7
 Luke Jackson,Curveball,81.3,42,3
 Luke Jackson,Slider,87.7,40,2
 Luke Jackson,Slider,88.9,40,3
 Tyler Matzek,Slider,87.7,36,5
 Tyler Matzek,4-Seam Fastball,97.7,12,4
 Tyler Matzek,4-Seam Fastball,96.1,11,4
 Tyler Matzek,Slider,87.6,37,4
 Tyler Matzek,Slider,84.9,46,6
 Tyler Matzek,Slider,84.7,48,5
 Tyler Matzek,4-Seam Fastball,96.8,11,6
 Tyler Matzek,4-Seam Fastball,96.2,12,5
 Tyler Matzek,Slider,85.2,46,5
 Tyler Matzek,4-Seam Fastball,96.6,11,7
 Tyler Matzek,4-Seam Fastball,96,11,4
 Tyler Matzek,4-Seam Fastball,95.4,11,3
 Tyler Matzek,4-Seam Fastball,95.4,11,3
 Tyler Matzek,4-Seam Fastball,94.7,10,3
 Tyler Matzek,4-Seam Fastball,95,12,4
 Tyler Matzek,Slider,81.3,51,8
 Joe Kelly,Knuckle Curve,87.6,45,7
 Joe Kelly,Knuckle Curve,85.9,47,8
 Joe Kelly,Knuckle Curve,86.7,44,7
 Joe Kelly,Knuckle Curve,89.1,44,8
 Joe Kelly,Knuckle Curve,88,41,6
 Joe Kelly,Changeup,87.8,29,17
 Joe Kelly,Sinker,96.7,21,16
 Joe Kelly,Knuckle Curve,88.7,43,7
 Joe Kelly,Knuckle Curve,90.8,36,2
 Joe Kelly,Knuckle Curve,88.7,39,4
 Joe Kelly,Knuckle Curve,89,39,3
 Joe Kelly,Sinker,96.4,17,16
 Tyler Matzek,Slider,84.6,47,5
 Tyler Matzek,4-Seam Fastball,97.2,13,6
 Tyler Matzek,Slider,85,46,4
 Tyler Matzek,Slider,85.9,42,2
 Tyler Matzek,4-Seam Fastball,95.4,11,5
 Jacob Webb,Changeup,82.9,30,18
 Jacob Webb,Changeup,84.6,29,19
 Jacob Webb,Changeup,83.8,29,17
